推薦年度,適讀年齡,經典好書,書名,作者,繪者,譯者,出版社,出版日期(西元),出版日期(民國),本土/翻譯,屬性分類,ISBN,定價
113,3~5歲,,山田家的氣象報告（新版）,長谷川義史,長谷川義史,李瑾倫,維京國際,2019-09-01,108-09,翻譯,社會情緒、認知探索,9789864402830,280
109,0~3歲,,叭!叭!叭!這是什麼車？,林柏廷,林柏廷,,,2019-08-01,108-08,翻譯,認知探索,9789862119372,280
109,3~5歲,,腳踏車輪子,陳志賢,陳志賢,,,2019-08-01,108-08,翻譯,"社會情緒,美感",9789579529150,340
113,3~5歲,,媽媽是一朵雲,海狗房東,林小杯,,巴巴文化,2019-08-01,108-08,本土,社會情緒、認知探索、美感,9789869743754 ,320
111,3~5歲,,快點！快點！,林廉恩,林廉恩,,聯經出版,2019-07-01,108.07,本土,社會情緒,9789570853247,320
109,3~5歲,,車站老鼠,梅格．麥凱倫,梅格．麥凱倫,柯倩華,,2019-07-01,108-07,翻譯,社會情緒,9789579529143,360
109,0~3歲,,淅瀝嘩啦下大雨,大成由子,秦好史郎,黃惠綺,,2019-07-01,108-07,翻譯,"語言溝通,認知探索",9789579077606,399
109/111/113,3~5歲,是,我的美術館,廖倍恩,廖倍恩,,拾光工作室,2019-07-01,108-07,翻譯,身體動作、美感、認知探索,9789869685139,330
109/110/113,3~5歲,是,最棒的禮物,賴馬,賴馬,,親子天下,2019-07-01,108-07,本土,"認知探索,社會情緒",9789575034382,360
113,3~5歲,,企鵝旅館,牛窪良太,牛窪良太,周佩穎,米奇巴克,2019-07-01,108-07,翻譯,社會情緒、語言溝通、認知探索,9789866215872 ,300
111/112,3~5歲,,夏天的早晨,谷內鋼太,谷內鋼太,游珮芸,步步出版,2019-06-01,108.06,翻譯,認知探索、美感、語言溝通,9789579380386,320
110,0~3歲,,不要一直學我啦！,喬納森．艾倫,喬納森．艾倫,游卉庭,,2019-06-01,108-06,翻譯,語言溝通,9789579125468,
109,3~5歲,,鱷魚的一天,喬凡娜‧佐波莉,瑪麗亞恰拉‧荻‧喬治,吳文君,,2019-05-01,108-05,翻譯,美感,9789862139745,380
